"IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
5158,8,50,5120,5100,5074,"83.7762404860016",53,1,0,2,2,8,2,0,"1","1","0","1",0,0,0,0,34,34,0,0,0,1,0,"24762","0","0","0","25131","0","0","25131","25131","25131","0","0","25131","9161","9161","9031","8678","-8","8670","0","8670","7528","8491","4127","11892","0","0","0","0","0","572","845","21938","436","1637","0","0","0","2680",0,"0","0","130","0","0","0","8"
25536,8,16,1630,1600,1516,"50.6930181552517",53,1,0,2,2,8,1,1,"1","3","2.12","3.12",0,0,0,0,0,0,3,3,5,5,0,"160769","0","161819","0","0","0","0","161819","168394","168644","250","0","168394","106003","102715","76688","58715","-945","57770","250","58019","141649","45650","131701","59336","1472","9492","2269","0","0","0","4070","5355","1646","7716","3288","251","0","3758",0,"151","677","791","28588","2307","1031","0"
28109,10,50,5210,5200,5074,"39.0080447932509",53,1,0,3,2,8,1,1,"1","2.97","1.97","2.97",20,0,20,0,0,50,1,13,13,14,9,"1621542","21409","175113","-1320","-160712","277750","1382751","1417241","1458164","1461609","3445","0","1458164","421339","409388","393061","237741","-28284","209457","3445","212902","957508","648378","779191","838226","0","43254","17223","740385","909","7132","6845","249730","4664","9458","11951","2353","0","13283",0,"8440","35","1551","39451","4803","29918","192"
28330,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,3,7,1,1,"1","2","1","2",21,0,21,0,0,21,1,15,15,15,11,"275652","65395","0","2406","40462","0","172380","280643","304128","304128","0","1614","305742","99819","82010","81896","57562","-753","56809","0","56809","163103","168909","216956","121856","2793","9934","10958","49245","4798","9567","6094","25178","1571","8965","17809","9082","0","3622",0,"936","80","1344","19592","1557","821","22"
29434,9,50,5130,5100,5074,"39.8535274475736",53,1,0,3,3,9,1,0,"1","1","0","1",5,0,5,0,38,40,2,11,12,12,7,"351936","34123","0","2387","311731","0","0","348241","366141","366141","0","0","366141","84021","77193","92637","92637","-2328","90309","0","90308","70448","104154","130370","46066","872","4253","5457","181397","0","11913","3203","63559","592","5107","6828","0","0","5251",0,"465","258","1392","0","0","0","2669"
30638,9,45,4500,4500,4500,"63.4415289704602",53,1,0,1,2,10,1,0,"2","2","0","2",29,0,29,0,0,29,0,15,15,15,11,"312268","53896","0","5280","13985","71940","196963","276487","304507.53","304870.53","363","8843.5","313351.03","75020","48908","75201.53","44029.53","-3142","40887.53","363","41250.53","245929","248710","247202","250543","2286","10158","5149","51319","5799","9048","13235","44943","1227","8119","26112","1689","0","6088",0,"734","0","579","0","0","2607","572"
31572,9,74,7410,5374,5074,"36.1222691444672",53,1,0,3,2,8,1,0,"2","2","0.05","2.05",10,0,10,0,36,41,2,9,10,11,7,"436067","14480","0","385","275063","31423","112806","403724","417783","418670","887","2916","420699","128758","119207","129248","96362","-8599","87763","471","88234","275927","104487","142080","243583","65","3723","2209","179357","0","14171","4427","90012","3309","10257","9551","1451","0","6266",0,"251","454","1641","872","319","7054","2026"
31614,10,50,5220,5200,5074,"39.0080447932509",53,1,0,4,3,7,2,1,"1","1.62","0.62","1.63",16,0,16,0,0,47,7,9,13,13,10,"184190","28828","0","1237","114299","4080","41280","185644","209663.75","209663.75","0","2325","211988.75","73128","70361","73863.75","44450.75","-7058","37392.75","0","37392.75","981024","673598","265533","1389089","0","2363","5893","5043","0","10360","5029","23059","695","4498","2767","1492","0","11133",0,"303","1100","3417","10791","1557","9152","1118"
32528,9,50,5120,5100,5074,"39.8535274475736",53,1,0,3,3,9,1,1,"1","2","1","2",0,0,0,0,41,41,11,10,16,16,3,"505635","24346","0","0","345915","123091","0","370261","392398","393269","871","85341","477739","138326","129667","120714","96706","-9246","87460","871","88331","329264","174353","172811","334090","4262","12341","15551","109904","0","7002","4608","56693","2034","9779","8659","413","0","4828",0,"2038","1478","0","23342","3680","4741","5057"
32570,8,47,4700,4700,4700,"32.658376285147",53,1,0,2,2,9,1,0,"1","1","0","1",23,0,23,0,0,23,2,4,6,6,3,"129331","13107","0","110","45482","3600","58608","118189","132959.87","133198.87","239","0","132959.87","54746","50479","64194.87","54799.87","-503","54296.87","239","54535.87","84285","52904","102915","37814","0","2975","3318","8658","0","960","3009","31966","1299","5071","4267","646","0","3996",0,"203","321","339","0","0","418","201"
33350,9,74,7410,5374,5074,"36.1222691444672",53,1,0,4,2,9,1,1,"1","2.25","1.3","2.3",22,0,22,0,35,45,2,14,15,15,11,"281931","45329","0","-1057","67631","0","159733","271636","297492","308742","11250","7477","304969","95326","78773","83562","50088","-3164","46924","8885","55809","226811","160492","260811","126492","1171","8031","9704","31276","0","3366","4141","55923","943","14729","16553","1329","0","8708",0,"573","269","125","14702","3652","3209","375"
33538,10,74,7410,5374,5074,"43.1183175179627",53,1,0,2,2,8,1,1,"3","3.17","0.17","3.17",32,0,32,0,0,50,1,22,22,24,16,"518397","48928","0","4450","104738","0","342507","504094","550845","557815","6970","7412","558257","212105","182299","222140","150644","-9076","141568","2214","143782","596028","275509","447884","423653","10962","12652","18765","62119","0","10632","13320","75995","1152","16907","29806","4564","0","12460",0,"132","43","1326","2767","1041","6886","3789"
33590,8,45,4500,4500,4500,"124.122482717469",53,1,0,2,1,7,1,0,"1","1","0","1",23,0,23,0,0,23,11,6,14,14,9,"209811","49217","0","-66","40879","0","117688","207718","230351.87","323331.87","92980","9932","240283.87","92148","88794","106126.87","26802.87","-1206","25596.87","64887","90483.87","657257","291911","703899","248208","0","5124","9497","21732","13230","2973","7487","27077","0","3387","3354","933","0","6919",0,"686","1809","753","0","0","3259","0"
33603,9,73,7310,6184,6184,"58.6218143385527",53,1,0,3,2,8,1,1,"1","2","1","2",19,0,19,0,19,34,1,11,12,12,7,"314707","33174","0","1396","82900","0","153131","270601","288596","289771","1175","2627","291223","61903","50949","44685","10121","-5773","4348","880","5228","260936","125704","130291","260504","41","8627","6663","79471","0","3767","3408","65037","1492","9268","10954","1274","0","6878",0,"416","183","1058","19442","2505","3181","3244"
33643,10,50,5120,5100,5074,"23.8378357131179",53,1,0,3,2,9,1,0,"2","2","0","2",0,0,0,0,47,47,2,21,21,22,3,"241195","132365","0","6267","186901","77789","0","328753","385490","386170","680","1320","386810","113487","87276","141487","106736","-6047","100689","680","101369","165216","255761","-19330","440307","0","16309","21955","66462","0","1011","4428","112373","6","9957","26211","0","0","7866",0,"873","188","1371","0","0","3176","2961"
33656,10,45,4500,4500,4500,"25.3539803297018",53,1,0,5,3,7,1,0,"3","3","0","3",46,0,46,0,0,46,1,26,26,26,26,"743099","10395","0","0","63827","0","666844","850601","941952","979867","37915","15920","957872","341351","297820","381215","249241","-19791","229450","8584","238034","991531","607639","750772","849952","7536","19043","5653","88414","3169","22382","19063","101751","5254","29093","43531","77","0","14059",0,"0","62","3162","0","0","22270","2065"
33658,8,45,4500,4500,4500,"124.122482717469",53,1,0,2,2,9,2,0,"1","1","0","1",18,0,18,0,0,18,9,2,11,11,9,"174216","-8128","0","-1540","21393","0","153874","165599","179244","179247","3","2356","181600","49086","48103","58439","53253","-1588","51665","3","51668","180563","88694","228972","41310","1879","4445","2878","39488","716","283","6184","30120","2167","8532","983","1256","0","5056",0,"297","2129","879","0","0","1301","291"
34367,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,3,7,1,0,"2","2","0","2",31,0,31,0,0,31,1,14,15,15,13,"284188","32252","0","2255","24051","0","225535","284093","311150","313202","2052","670","311820","54006","42057","67575","50527","-4683","45844","2052","47896","204440","179677","165519","224541","4237","7900","7125","78644","0","6608","5575","55565","614","20187","11949","2070","0","5859",0,"58","174","808","0","0","2519","2663"
34528,8,45,4500,4500,4500,"124.122482717469",53,1,0,3,3,7,1,0,"2","2","0","2",30,0,30,0,0,30,1,14,15,15,12,"384570","25007","0","0","87257","0","199336","311600","340709","342272","1563","7801","348510","116682","101373","127351","96819","-1208","95611","1563","97174","273142","273741","347071","206909","3927","9498","13359","50121","6000","5895","9151","25760","1137","10149","15309","0","0","7592",0,"1083","39","858","0","0","1286","1"
34557,9,74,7410,5374,5074,"36.1222691444672",53,1,0,2,2,9,1,0,"1","1","0","1",8,0,8,0,29,33,0,12,12,12,7,"202675","-646","0","-165","163476","12809","44485","207151","221647","222168","521","21278","242925","8729","5315","18727","3820","-3382","438","297","738","90680","126701","74039","143342","312","6499","6748","84645","0","13835","4934","85448","1731","14338","3414","0","0","8614",0,"76","0","831","0","0","1254","2304"
34660,8,15,1510,1500,1516,"57.5593377505811",53,1,0,0,2,9,1,0,"0.72","0.6","0.05","0.77",0,0,0,0,0,0,4,20,22,22,6,"186512","148515","0","26140","0","0","0","191217","229070","233070","4000","958","230028","82856","63172","95958","70447","-1937","68510","-2779","65731","105586","117400","111238","111748","13","15212","23876","0","0","0","9848","2500","862","9311","19684","0","6069","4675",0,"1231","1007","1005","932","45","1329","1026"
34678,8,45,4500,4500,4500,"124.122482717469",53,1,0,3,3,4,1,0,"2.31","2","0","2.31",12,0,12,0,0,12,0,13,13,14,13,"130735","-110","36763","0","4194","0","85392","126239","159573","182572","22999","0","159573","26838","20531","52169","44846","-2734","42112","22999","65108","85870","53900","57348","90776","9","11189","0","7473","0","895","3728","18744","171","6770","6307","0","0","4651",0,"26","0","913","0","0","2233","994"
35461,9,50,5120,5100,5074,"39.8535274475736",53,1,0,2,2,7,1,0,"1","1","0","1",11,0,11,0,46,47,11,0,11,12,7,"632185","14395","0","0","364259","132502","89424","479176","495789","502789","7000","8154","503943","107541","107541","120422","88267","-8557","79710","7000","86710","524617","128766","220283","438988","1491","7826","7623","243294","0","13764","7280","61896","982","11843","0","13826","0","9487",0,"693","1818","980","0","0","5041","3757"
35485,10,50,5130,5100,5074,"23.8378357131179",53,1,0,3,3,6,1,1,"1","2","1.07","2.07",4,0,6,0,50,50,1,15,16,16,2,"788695","15417","0","10957","734949","31325","0","761814","795685","847477","51792","109623","905308","237734","226070","216759","128360","-13435","114925","1994","116919","422311","339430","64417","697324","1591","3938","15579","225609","12700","24996","11649","183400","15247","15109","11664","2566","5552","12641",0,"944","78","1675","31107","7389","10498","3275"
35486,9,46,4600,4600,4600,"42.313989877676",53,1,0,2,2,7,1,0,"2","2","0.33","2.33",46,0,46,0,0,46,1,14,15,15,12,"168810","35738","0","3795","186261","0","0","225794","277078.93","277078.93","0","6069","283147.93","76412","59334","102223.93","54862.93","-6911","47951.93","0","47951.93","437911","216916","297450","368248","1183","8262","6606","13435","1238","5045","11263","42531","624","7632","17078","998","0","9493",0,"528","20","1355","5908","499","6103","866"
35503,10,50,5220,5200,5074,"39.0080447932509",53,1,0,2,2,7,1,0,"1","1","0","1",0,0,0,0,0,49,1,0,1,1,0,"545630","0","0","0","418699","117662","0","418699","419016","419183","167","0","419016","70498","70498","69751","26906","-5564","21342","167","21509","274175","78638","94799","264359","0","0","0","266408","0","3007","3627","32815","6315","3255","0","777","0","6769",0,"0","98","966","0","0","5555","9"
35527,9,73,7310,6184,6184,"58.6218143385527",53,1,0,2,2,9,1,0,"2","2","0","2",19,0,19,0,23,36,0,13,13,14,10,"283494","32082","0","497","42097","0","212165","286841","312265.22","319680.22","7415","4835","317100.22","108411","95044","117630.22","61813.22","-10926","50887.22","7415","58302.22","637182","134341","235144","538374","1408","8402","6334","62674","0","6936","7153","44085","1843","5856","13367","1935","0","8796",0,"256","0","670","0","0","10621","699"
35597,9,73,7310,6184,6184,"58.6218143385527",53,1,0,3,3,8,1,0,"1.05","1","0","1.05",17,0,17,0,21,34,5,12,14,14,11,"259491","34292","10227","1791","24031","0","154950","242615","264431","270219","5788","5841","270272","77600","71845","91346","49097","-15010","34087","5788","39875","488465","117966","209423","397008","4319","10055","11684","22892","0","11165","8839","38000","9498","21998","5755","0","0","7441",0,"0","856","1103","0","0","14654","711"
35598,8,45,4500,4500,4500,"124.122482717469",53,1,0,4,3,7,1,0,"2","2","0","2",12,0,12,0,0,12,0,14,14,14,11,"151504","32213","0","1361","18612","0","105588","159410","180828","186501","5673","4345","185173","75466","61689","82150","42991","-652","42339","5673","48012","152349","89930","221987","20292","1600","3543","5034","16457","0","1701","7056","26500","7426","7909","13777","0","0","4818",0,"440","0","517","0","0","652","0"
35601,9,50,5120,5100,5074,"39.8535274475736",53,1,0,2,4,8,1,0,"1","1","0.3","1.3",0,0,0,0,46,46,1,11,11,12,2,"579399","55226","0","4094","417300","144961","0","476620","492247","492247","0","0","492247","145761","140481","147816","139852","-5882","133970","0","133970","53323","150949","33415","170857","4937","6921","6400","229238","0","6371","1717","25160","1768","6135","5280","3018","0","6906",0,"763","31","843","4920","321","1711","4233"
35606,10,50,5130,5100,5074,"23.8378357131179",53,1,0,3,3,9,1,1,"1","1.74","0.74","1.75",0,0,0,0,48,48,1,11,11,11,0,"608665","11168","0","4881","585499","23779","0","601548","616683","620184","3501","47433","664116","225907","213935","206163","143693","-5072","138621","3501","142122","380280","191693","186065","392529","2665","5767","11556","230935","0","31132","3692","120901","4637","7686","11972","0","1199","10530",0,"632","21","1635","16719","3524","4650","588"
35609,7,15,1510,1500,1516,"138.290024461045",53,1,0,3,2,10,2,0,"1","1","0","1",0,0,0,0,2,2,0,11,11,11,1,"51011","47234","0","4372","3662","4680","0","55268","68704","69838","1134","0","68704","-3040","-12523","-468","-31196","-1600","-32796","1134","-31662","72248","45517","-1034","122433","0","5445","7565","3832","0","2","2056","29623","1527","4422","9483","0","0","5894",0,"418","0","250","0","0","2089","136"
36148,10,50,5130,5100,5074,"23.8378357131179",53,1,0,2,2,6,1,1,"1","2.62","1.62","2.63",0,0,0,0,49,49,1,18,18,18,3,"644219","16725","0","5696","624324","0","41454","688199","742449.52","743081.52","632","103306","845755.52","163528","140103","131521.52","114787.52","-2503","112284.52","632","112916.52","179444","268146","-49546","498379","3826","8305","13489","284719","0","34847","11108","156943","743","25182","23425","0","0","6883",0,"837","79","1833","34613","4384","2609","134"
36355,9,45,4500,4500,4500,"63.4415289704602",53,1,0,2,2,8,1,0,"2","2","0","2",38,0,38,0,0,38,1,17,17,17,14,"440817","34589","0","-864","83179","0","321169","438073","471123.98","476005.98","4882","7190","478313.98","146562","129978","159603.98","108993.98","-12662","96331.98","-476","95855.98","482437","270709","194621","558525","1252","14916","14761","82494","6910","16675","8399","57271","818","8812","16584","3105","0","8645",0,"1333","28","1070","0","0","11201","1706"
36358,9,16,1660,1600,1516,"24.6108202177435",53,1,0,4,3,6,1,0,"2","2","0.74","2.74",15,0,15,0,0,15,1,15,15,17,7,"299457","87188","157511","385","28916","21830","0","274000","300480","306924","6444","3710","304190","59137","45674","53164","14964","-1360","13604","6444","20048","116558","224060","108620","235495","1581","48928","25403","1823","0","1938","12028","38800","1206","6920","13463","1123","0","6090",0,"2808","58","1423","12476","1320","1079","1170"
37110,8,45,4500,4500,4500,"124.122482717469",53,1,0,3,3,6,1,0,"1.44","1","0","1.44",24,0,24,0,0,24,1,13,13,13,12,"218192","9211","0","455","27677","0","183475","220818","244301.31","247018.31","2717","3828","248129.31","94237","85606","105002.31","75438.31","-5816","69622.31","2717","72339.31","260593.4","165653","317345.4","114369","934","6255","4359","20031","0","4973","5137","42789","3097","5773","8631","1320","0","7442",0,"1004","1082","1545","0","0","3561","2711"
37193,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,2,8,1,0,"3","3","0.3","3.3",35,0,35,0,0,35,0,26,26,26,22,"547837","87167","0","330","49246","0","419227","556626","617593","618826","1233","0","617593","220671","192483","244498","158915","-7323","151592","1233","152825","495367","237703","447096","289066","6459","22762","18090","86899","0","14572","11543","57250","2347","15001","28188","3568","0","10115",0,"1769","0","1384","4729","939","7454","0"
37195,8,45,4500,4500,4500,"124.122482717469",53,1,0,2,2,6,1,0,"2","2","0","2",17,0,17,0,0,17,0,13,13,13,11,"213825","15148","0","188","15499","0","184502","215491","254024","254274","250","2863","256887","105931","97559","134638","110113","547","110660","250","110910","182235","93204","264167","14353","0","4896","5948","30486","0","3008","4639","30880","1039","9874","8372","1595","0","1134",0,"282","0","621","0","0","0","0"
37211,9,45,4500,4500,4500,"63.4415289704602",53,1,0,2,2,8,1,0,"2","2","0","2",34,0,34,0,0,34,1,23,23,23,15,"445850","86376","0","902","46081","0","352439","485798","528385.19","534572.19","6187","8061","536446.19","138996","113917","152461.19","80247.19","-10529","69718.19","6187","75905.19","603570","263764","92436","781167","0","13275","18454","113452","9044","17825","13024","123590","1228","25569","25079","3123","1744","9247",0,"1512","37","1179","0","0","9972","1647"
37213,9,45,4500,4500,4500,"63.4415289704602",53,1,0,2,2,8,1,0,"2","2","0","2",26,0,26,0,0,26,0,16,16,17,13,"262190","40350","0","-603","63786","8520","172851","276384","309135.87","310410.87","1275","14739","323874.87","78106","64594","93269.87","68104.87","-994","67110.87","1275","68385.87","183928","217499","206634","194793","1035","12854","12434","40805","1198","5007","11873","36402","1646","15311","13512","1795","0","6999",0,"654","0","1049","0","0","1085","412"
37237,7,15,1510,1500,1516,"138.290024461045",53,1,0,2,2,7,1,0,"1","1","0","1",0,0,0,0,0,3,0,11,11,12,2,"248192","38215","0","3764","-33346","132808","97240","105873","122312","122312","0","0","122312","29101","23414","38570","30692","-6839","23853","0","23856","42807","40220","-118932","201959","0","5755","6333","27261","0","417","206","8948","366","1307","5687","0","0","323",0,"77","0","757","0","0","6636","280"
37240,10,50,5130,5100,5074,"23.8378357131179",53,1,0,3,2,9,1,0,"2","2","0","2",10,0,10,0,46,47,0,14,14,15,5,"574762","34239","14575","1580","505404","14342","71081","628806","654769","657315","2546","42386","697155","301356","287537","310384","227488","-3769","223719","2546","226265","619392","368584","608964","383965","1585","12907","9778","158112","0","24705","8488","101238","205","17540","13819","556","0","11750",0,"1373","0","1194","0","0","4144","35"
38006,10,45,4500,4500,4500,"25.3539803297018",53,1,0,2,2,9,1,1,"4","4.32","0.32","4.32",42,0,42,0,0,42,1,26,26,27,20,"752801","63610","92285","-627","56441","2610","514782","734156","808722","817005","8283","12385","821107","334120","286841","348231","220313","-4903","215410","8283","223693","1068025","388199","689440","778609","3579","29792","33202","99982","0","22376","22904","76470","3294","24645","47279","4630","0","18425",0,"4439","390","1983","4746","322","5906","293"
38007,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,2,8,1,0,"2","2","0.02","2.02",23,0,23,0,0,23,0,19,19,19,12,"387813","60369","0","-3217","8929","8000","244119","337322","373133","410383","37250","0","373133","63182","52546","83556","38594","-6817","31777","37250","69031","242241","164409","46553","368563","1624","14227","19385","64682","0","8204","9669","40829","1313","25807","10636","2082","0","8151",0,"1039","0","2523","555","207","5590","1704"
38018,8,45,4500,4500,4500,"124.122482717469",53,1,0,3,3,6,1,0,"1","1","0","1",17,0,17,0,14,30,0,10,10,10,10,"108580","-12411","0","0","25614","1250","92245","105448","126257","126257","0","0","126257","47029","37977","58203","51537","226","51763","-25","51736","83429","95051","-121404","299884","0","3909","600","8016","0","3040","4184","40407","98","3058","9052","1843","0","3980",0,"0","0","347","0","0","0","10"
38024,8,46,4600,4600,4600,"47.6568254537456",53,1,0,2,2,9,1,0,"1","1","0","1",18,0,18,0,0,18,2,3,4,4,1,"59352","11265","0","0","48033","0","0","59298","73791","73791","0","35","73826","37945","36703","50527","47555","-767","46788","0","46789","38350","28769","6382","60737","0","1087","868","0","0","0","0","11349","0","0","1242","0","0","1472",0,"86","100","457","0","0","674","119"
38047,8,47,4700,4700,4700,"32.658376285147",53,1,0,2,2,7,2,0,"1","1","0","1",31,0,31,0,0,31,4,4,7,7,6,"154684","5814","0","-605","74540","9250","65888","145637","161904.82","167590.82","5686","1800","163704.82","74262","71574","86355.82","62552.82","-4712","57840.82","204","58044.82","304386","73398","178816","200085","0","5114","2449","12481","1392","1333","359","30201","1372","4073","2688","1258","0","4887",0,"297","497","672","0","0","4571","161"
38068,8,45,4500,4500,4500,"124.122482717469",53,1,0,3,2,7,1,0,"1","1","0","1",17,0,17,0,0,17,1,11,11,11,11,"146317","-2035","0","0","20807","0","129343","148115","165291","165291","0","3348","168639","44610","35877","52004","35775","-948","34827","0","34832","109185","99403","92968","120078","1012","6366","1786","16697","0","4552","4243","33248","2072","14718","8733","1103","0","4894",0,"157","64","821","0","0","725","230"
38082,10,50,5130,5100,5074,"23.8378357131179",53,1,1,2,2,9,2,1,"1.3","2.25","1.25","2.55",0,0,0,0,50,50,0,8,8,9,0,"1297389","9780","0","3067","1287579","45360","284","1300710","1313204","1315658","2454","35608","1348812","399954","373222","342255","298464","-10644","287820","2454","290274","203482","495421","452781","262444","0","6071","6581","589051","0","94120","10267","376429","4343","36401","26732","50","0","16981",0,"0","0","2272","31868","6646","5464","5584"
38085,10,74,7410,5374,5074,"43.1183175179627",53,1,0,4,3,10,1,2,"3","5.45","3.05","6.05",34,0,34,0,50,50,1,17,18,19,15,"1316827","9948","0","-227","593925","0","352549","956195","1000519","1015706","15187","11214","1011733","261768","232520","168987","134692","-28534","106158","15187","121345","730620","222973","77669","896815","0","11969","9571","387648","13025","10352","11339","210465","4453","28143","29248","2975","0","23104",0,"1147","92","4669","77597","21123","18947","10006"
38605,10,84,8440,6184,6184,"24.1595371706295",53,1,0,1,2,8,1,1,"2","2.34","1.18","3.18",16,0,16,0,36,44,0,21,21,22,11,"787391","75366","105787","6229","345973","109288","165812","699167","734590","743601","9011","0","734590","206414.05","185471.05","196531.05","167600.05","-13662","153938.05","5032","158967","170629","204786","-19645","401583","2397","30414","39567","234909","600","16508","8231","75117","4439","14305","20943","1434","0","8543",0,"1504","0","4757","16230","1269","6489","7234"
38672,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,2,8,1,1,"2","3.77","1.77","3.77",25,0,25,0,0,25,1,14,14,15,13,"291693","205","0","0","30157","0","250411","280773","303070","304260","1190","1215","304285","94349","76222","70051","44163","-8747","35416","1190","36611","284773","117131","114731","290858","0","9601","5962","47236","1453","7203","5858","25833","640","11592","18127","2165","0","2634",0,"289","0","1348","24323","1639","7990","792"
39226,9,83,8310,6184,6184,"58.6218143385527",53,1,0,3,2,9,1,1,"2","3","1","3",24,0,24,0,0,24,1,20,21,21,12,"502590","65772","161960","2855","28011","0","249426","508024","550538.09","559038.09","8500","9369","559907.09","175373","156407","154676.09","76394.09","-6977","69417.09","8500","77917.09","425732.73","273296","317687.73","391636","0","31502","26917","40109","0","7717","15416","180843","17797","22311","18966","2106","0","8982",0,"8552","82","4218","26188","3909","7332","0"
39293,9,83,8330,6184,6184,"58.6218143385527",53,1,0,4,3,9,1,0,"2","2","0","2",31,0,31,0,0,31,0,26,26,26,17,"324661","70614","28627","1650","217339","6500","0","325362","385987","386243","256","9817","395804","126767","101545","157695","95170","-5490","89680","256","89936","466478","360494","556035","278799","1698","16348","18864","29515","898","6727","15032","17058","1732","18398","25222","720","0","8783",0,"1750","0","1427","0","0","6786","0"
39306,9,45,4500,4500,4500,"63.4415289704602",53,1,0,2,2,10,1,0,"3","3","0.31","3.31",23,0,23,0,0,23,0,16,16,16,10,"404760","68222","0","-339","92876","10145","258303","419392","454461.11","460513.11","6052","11561","466022.11","171916","152233","176252.11","97839.11","-9222","88617.11","3876","92493.11","553849","171267","98582","627479","4554","10041","9739","65742","0","8192","14370","68227","1410","20396","19683","2333","0","16758",0,"122","0","1399","7116","2367","8254","1014"
39330,7,45,4500,4500,4500,"157.626091807196",53,1,0,2,2,9,1,0,"1","1","0","1",9,0,9,0,0,9,1,7,7,7,6,"45792","882","0","-28","7766","0","41693","50313","59666.66","60105.66","439","3651","63317.66","26585","22614","31449.66","18468.66","0","18468.66","438","18906.66","85631","79731","154807","10645","765","1856","1896","2937","0","152","2172","9087","127","1709","3971","365","0","1293",0,"68","29","204","0","0","0","0"
39831,8,50,5210,5200,5074,"97.5907787072114",53,1,0,2,2,8,2,0,"1","1","0","1",0,0,0,0,0,20,0,0,0,1,0,"56008","0","0","0","0","0","56008","56008","56060","56060","0","0","56060","47370","47370","47183","47231","-456","46775","0","46775","261","6104","-29586","36571","0","0","0","0","0","0","0","8131","33","356","0","0","0","918",0,"0","0","187","0","0","0","460"
39835,9,45,4500,4500,4500,"63.4415289704602",53,1,0,3,3,7,1,1,"2","3","2.99","4.99",22,0,22,0,0,22,1,14,14,14,12,"288411","15362","65130","0","28433","0","184358","293283","318669","326567","7898","1800","320469","87279","71437","55281","29626","-4369","25257","7898","33160","175325","109523","110215","181567","3504","10005","12476","44115","11692","13074","10603","35700","1710","6691","15842","1661","0","5417",0,"1139","40","767","36840","2191","2448","2486"
39938,8,48,4830,4813,4800,"1.94316904362427",53,1,0,0,4,10,1,2,"2","4.41","3.95","5.95",0,9,9,0,0,9,5,3,8,8,8,"290472","3686","0","0","12560","0","280479","296725","308807","308807","0","0","308807","176524","175258","93009","82972","-1671","81301","0","81301","165896","92996","217754","41138","0","0","0","41032","450","5142","1774","39307","2345","5269","1266","385","0","3883",0,"0","790","1533","77969","12738","1352","337"
40055,10,29,2913,2900,2829,"89.9160405226527",53,1,0,0,2,9,1,2,"1","5","9.46","10.46",0,0,0,0,0,0,1,0,1,1,0,"766436","0","766436","0","0","0","0","766436","767397","767397","0","0","767397","352215","352215","101263","81717","-3512","78205","0","78205","90478","176311","69735","203933","152","173743","8667","0","0","0","13269","106143","3749","23305","0","6222","192","16346",0,"0","485","2291","211603","37415","1456","2164"
40056,10,50,5120,5100,5074,"23.8378357131179",53,1,0,3,3,8,1,1,"2","3.82","1.82","3.82",0,0,0,0,50,50,1,3,6,6,0,"1398380","-22968","0","0","1450574","0","0","1427606","1435461.99","1435461.99","0","45803","1481264.99","344806","342585","276758.99","251008.99","-27230","223778.99","0","223778.99","230744","650863","331068","553049","0","4389","3265","806378","0","74225","6477","505177","5566","32247","2221","6500","0","14962",0,"16236","57","3298","44917","7888","9877","17492"
40072,8,39,3610,3900,3900,"3.19855003424946",53,1,0,3,3,6,1,0,"1","1","1","2",0,0,0,0,0,0,0,9,9,9,1,"143813","142431","0","1382","0","0","0","143813","156823.4","157490.4","667","0","156823.4","86554","76216","58310.4","-7329.6","342","-6987.6","667","-6320.6","291332","189370","274217","207262","0","1367","12810","0","0","0","3759","16395","21","3901","10338","0","0","3203",0,"1139","0","511","25383","1366","1768","37"
40161,8,45,4500,4500,4500,"124.122482717469",53,1,0,4,3,8,1,0,"1","1","0","1",13,0,13,0,0,13,3,8,10,10,7,"161359","11744","0","763","17216","0","126810","156533","170326","198826","28500","473","170799","43617","38273","50250","25822","-2265","23557","26105","49664","230185","82150","177607","139597","50","6129","5762","27251","5392","7279","3482","18160","2389","3075","5344","1069","0","3404",0,"40","691","909","0","0","2305","136"
40625,9,50,5130,5100,5074,"39.8535274475736",53,1,0,3,2,8,1,0,"1","1","0","1",0,0,0,0,35,35,2,6,7,7,1,"187413","12580","0","1320","189529","17852","0","203524","213718.15","213718.15","0","32400","246118.15","8164","3595","12572.15","8191.15","-15899","-7707.85","0","-7707.85","83677","174020","-274090","531787","0","5083","3617","117620","0","14652","4902","54774","1842","3474","4569","400","0","0",0,"203","49","600","0","0","3204","12781"
