"IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
46330,6,46,4600,4600,4600,"87.5535643315774",53,1,0,2,2,9,1,0,"1","1","0","1",10,0,10,0,0,10,0,11,11,11,10,"38209","13404","0","481","4614","0","10890","29389","54950","54950","0","1418","56368","-33617","-40291","-15234","-16449","-2394","-18843","-790","-19633","48696","53860","14583","87973","0","3064","1546","420","0","120","3982","10380","321","11212","6674","0","0","1236",0,"153","0","243","0","0","0","2449"
46332,9,16,1630,1600,1516,"24.6108202177435",53,1,0,3,3,7,1,2,"1","3.82","6.1","7.1",0,0,0,0,0,0,1,16,16,16,1,"756369","0","776368","0","0","0","0","776369","789675","800175","10500","24000","813675","496318","469872","329303","217181","-1620","215561","10500","226061","397399","512113","780760","132411","6607","81087","24818","0","0","0","26986","35230","7133","23839","26446","123","0","3933",0,"0","0","5074","129379","19368","1635","0"
46333,9,16,1630,1600,1516,"24.6108202177435",53,1,0,3,3,6,1,0,"3.01","3","1.14","4.15",0,0,0,0,0,0,0,12,12,12,0,"548289","17752","499780","0","0","0","0","532289","546197","558899","12702","26000","572197","346065","308733","294195","246766","-5082","241684","12702","254386","200535","570987","513269","258253","3695","32618","23544","0","0","0","20853","102350","4547","7130","37332","762","0","7005",0,"41","0","3261","23263","1082","5644","161"
46334,8,16,1630,1600,1516,"50.6930181552517",53,1,0,2,2,9,1,1,"2","4","4.05","6.05",0,0,0,0,0,0,0,10,10,11,0,"308746","12625","298021","0","0","0","0","310646","336639","379639","43000","11600","348239","169878","146362","69516","25269","-2436","22833","43000","65833","245530","225068","219803","255381","7287","26736","14064","0","0","0","12123","34560","748","8854","23516","266","0","4903",0,"87","0","988","88954","12708","2432","77"
46335,8,45,4500,4500,4500,"124.122482717469",53,1,0,2,2,9,1,0,"1","1","0","1",15,0,15,0,0,15,1,16,16,17,11,"216081","49472","0","330","15351","0","144064","219776","245180","245180","0","0","245180","52869","35418","58937","38493","-4660","33833","0","33833","147431","82806","118856","120406","1768","10445","11112","29175","0","3699","7210","48420","202","7485","17451","0","0","9425",0,"460","42","1014","0","0","929","4100"
46337,8,45,4500,4500,4500,"124.122482717469",53,1,0,3,2,7,1,0,"1","1","0","1",19,0,19,0,0,19,1,12,12,12,11,"194716","11582","0","865","34131","0","137247","183825","206775.3","213993.3","7218","5426","212201.3","78830","66849","83665.3","53283.3","3360","56643.3","7218","63861.3","228430","324301","429512","124991","2135","6078","3063","24093","0","3707","5342","20481","1541","6378","11981","889","0","3775",0,"464","30","718","0","0","665","0"
46876,9,74,7410,5374,5074,"36.1222691444672",53,1,0,2,2,9,1,0,"3","3","0","3",14,0,14,0,42,46,4,12,13,13,6,"562539","4256","0","2561","394652","12384","140411","542010","565021","575021","10000","37122","602143","154723","143327","162445","134312","-898","133414","10000","143414","211922","301161","399476","121317","11163","7559","10572","223014","2369","22136","4708","95280","867","8919","11396","0","1685","9446",0,"442","564","2541","0","0","1240","3"
46877,9,74,7410,5374,5074,"36.1222691444672",53,1,0,4,3,5,1,1,"1","2","1","2",14,0,14,0,37,44,4,14,15,15,11,"487265","43426","0","201","319609","0","151201","531801","560728","561720","992","297","561025","131102","117865","107216","53986","-12005","41981","992","42974","472250","185772","154351","503671","5028","11901","11680","221841","1650","20209","10868","102580","5141","13366","13237","0","0","9032",0,"417","631","1859","24871","6632","9214","3481"
46878,10,50,5130,5100,5074,"23.8378357131179",53,1,0,3,3,6,1,2,"1.35","3.66","2.66","4.01",0,0,0,0,50,50,3,11,12,13,0,"1168615","-11640","0","3684","1167485","32859","0","1162009","1178058","1189437","11379","82549","1260607","420946","409565","338816","239342","-36691","202651","11379","214030","787800","407067","243588","951279","1576","9079","10413","471956","0","68225","7818","423247","8756","23395","11381","0","0","13055",0,"0","534","2326","67933","15855","28113","8728"
46879,9,50,5220,5200,5074,"35.2733463935869",53,1,0,3,3,5,1,0,"1","1","0","1",1,0,1,0,0,50,0,0,0,1,0,"131382","0","0","0","160564","2740","0","160564","160564","162479","1915","0","160564","63417","63417","62816","26638","-6800","19838","1915","21753","216186","62070","3055","276619","0","0","0","2765","0","8929","157","83010","0","2186","0","0","0","8998",0,"166","32","403","0","0","6647","153"
46881,9,50,5130,5100,5074,"39.8535274475736",53,1,0,1,2,9,1,0,"1","1","0","1",0,0,0,0,46,46,3,9,11,11,0,"502601","38082","0","883","453004","14163","0","491969","514822.15","514822.15","0","0","514822.15","110781","105405","115409.15","112376.15","-2172","110204.15","0","110204.15","122652","152522","155515","125943","4462","8422","8780","253787","0","18919","1991","82400","4150","3695","5376","0","1441","5892",0,"5740","453","2320","0","0","1125","1667"
