"","IDNUM","CDEXE","OTEXE","OTE64F","OTEFDD","OTEFDA","EXTR2","NREG","ZDEFA","ZENVI","FOAGR","FOGEN","TRA05","SEXEP","EFF10","UTANS","UTARG","UTASA","UTATO","UGBBO","UGBCA","UGBHE","UGBOV","UGBPO","UGBTO","SAFVD","SAFER","SAUTI","SUTOT","SFPTO","CHAFF","PRODV","PRODH","PRODT","PRODA","ACHAN","PRODP","PROEX","PBRTCOU","PBRTO","PBRTEXC","PITOT","PROBR","VAFER","VAPBR","EBEXP","RESEX","RESFI","RESCO","RESCP","RESE3","TAIM5","TCIR5","TCAP3","TDTE3","CHRAM","CHRSE","CHRPH","CHRAC","CHRAG","CHRPV","CHRCA","ELECTQUA","ENTBT","ENTMT","LFERM","LMATE","ASSRE","ASSAU","TVANR","TXPRO","TAXES","AIMTX","FPERS","CHSOC","CFINL","CAGR4"
"305",47665,8,45,4500,4500,4500,"73.3105604665629",28,1,0,2,2,9,1,0,"1","1","0","1",12,0,12,0,0,12,7,2,8,8,7,"134347","8498","0","800","13991","0","101405","124694","136900.8","137044.8","144","500","137400.8","41282","39964","47426.8","31602.8","-393","31209.8","0","31209.8","329890","66318","359682","36526","0","3847","2747","21787","0","3464","1871","26179","825","3838","1318","0","0","6815",0,"1694","2062","368","0","0","996","0"
"306",47667,8,45,4500,4500,4500,"73.3105604665629",28,1,0,2,2,8,2,0,"1","1","0","1",16,0,16,0,0,16,1,13,13,13,13,"95650","-3210","0","0","8712","0","84657","90159","108174.26","108174.26","0","480","108654.26","27854","18362","35366.26","15838.26","-901","14937.26","0","14937.26","145785","39750","149779","35756","0","3168","1071","11967","0","789","4966","27116","2146","1059","9492","0","0","3780",0,"60","19","510","0","0","1274","26"
"307",47669,9,47,4700,4700,4700,"25.2839425535209",28,22,0,4,4,4,1,0,"2","2","0","2",33,0,33,0,0,33,2,23,24,24,18,"288019","54205","0","-640","47248","3700","190090","290903","363153.63","366844.63","3691","1435","364588.63","83475","54838","121029.63","45644.63","-6461","39183.63","3691","42874.63","623869","132000","285865","470004","3859","12244","11423","39313","0","130","15645","30337","2898","16585","28637","0","0","9855",0,"1636","0","2666","0","0","7851","267"
"308",47671,8,47,4700,4700,4700,"233.964559199886",28,1,0,1,2,10,1,0,"1","1","0","1",14,0,14,0,0,14,4,12,14,14,12,"84407","13767","0","-4800","19021","1005","43284","71272","98303","98303","0","0","98303","10977","-5457","19836","18187","-3356","14831","0","14831","162384","32749","68007","127126","0","4285","3275","4613","0","1304","4961","11223","2732","5442","16434","1283","0","3382",0,"387","524","288","0","0","1778","1604"
"309",47673,8,45,4500,4500,4500,"73.3105604665629",28,22,0,1,2,8,1,0,"1","1","0","1",24,0,24,0,0,24,12,2,13,13,13,"178904","1020","0","0","44768","0","136548","185093","211270","211888","618","0","211270","78110","76765","98846","73490","-4541","68949","618","69567","370972","200911","362865","209018","1185","2869","293","34667","4413","355","3700","13677","1347","7239","1345","0","394","5252",0,"1463","2113","497","0","0","4564","0"
"310",47675,8,45,4500,4500,4500,"73.3105604665629",28,1,0,2,0,8,1,0,"1","1","0","1",15,0,15,0,0,15,3,12,13,13,11,"84307","13425","0","400","4603","0","54841","73269","92477","93205","728","3656","96133","17209","7022","23792","13783","-5416","8367","708","9075","170008","52185","98492","123701","0","6327","4290","10570","0","147","6367","42531","875","914","10187","0","0","1880",0,"436","631","254","0","0","4890","565"
"311",47680,9,74,7420,5374,5074,"12.8985740215173",28,22,0,2,0,6,1,0,"2","2","0","2",31,0,31,0,0,48,0,15,15,15,15,"292216","1925","0","0","253616","32750","3687","259538","328194","369903","41709","0","328194","41457","29215","96473","12735","-10550","2185","38930","41115","885510","106000","463170","535337","0","1250","0","116753","2000","4205","7066","20562","6698","4088","12242","581","0","11609",0,"145","0","860","0","0","9035","1768"
"312",47684,8,45,4500,4500,4500,"73.3105604665629",28,22,0,4,3,5,1,2,"0.8","3.8","3","3.8",25,0,28,0,1,28,0,18,18,18,17,"299464","-11498","0","35937","32641","25100","116013","266367","319822","336265","16443","28661","348483","164695","152670","137329","89014","-7516","81498","7760","89258","539254","205463","327011","426443","0","98","0","1903","8071","2383","5143","52158","3685","16836","12025","0","0","10893",0,"434","0","509","59043","8062","6546","1593"
"313",47686,7,84,8440,6184,6184,"91.7074520695856",28,1,0,4,4,5,1,0,"1","1","0","1",0,0,0,0,7,7,1,2,3,3,1,"212796","11907","0","0","-17077","21772","186310","186149","200219","201193","974","3960","204179","25057","25057","38846","20012","-1761","18251","974","19225","109716","78896","74410","114202","0","350","0","15772","23709","18","0","7828","255","1101","0","408","0","3423",0,"129","89","0","0","0","1783","14"
"314",47688,9,45,4500,4500,4500,"42.6481373060645",28,22,0,3,3,8,1,1,"2","3","1","3",35,0,35,0,0,35,0,17,17,17,15,"346233","19194","0","0","34359","200","301588","361639","414414","463723","49309","8252","422666","144832","126300","136663","87184","-1521","85663","43113","128776","458506","204684","394248","274452","0","6224","5899","41772","24144","3468","13907","45793","1860","15748","18532","0","0","7823",0,"1914","0","1102","30625","8118","1907","20"
